Pregunta,Respuesta 1,Respuesta 2,Respuesta 3,Respuesta 4,Respuesta correcta,Explicación
¿A quién vinculan los términos y plazos del artículo 29 de la Ley 39/2015 y qué error debe evitarse al interpretarlos?,"A las autoridades y personal al servicio de las Administraciones Públicas competentes para la tramitación, así como a los órganos competentes","A las autoridades y personal al servicio de las Administraciones Públicas competentes para la tramitación, así como a los interesados",La exigencia de resolución expresa previa con audiencia del interesado cuando proceda,La aplicación supletoria del trámite de subsanación antes de producir efectos desfavorables,2,"El art. 29 LPAC dispone: 'Los términos y plazos establecidos en ésta u otras leyes obligan a las autoridades y personal al servicio de las Administraciones Públicas competentes para la tramitación de los asuntos, así como a los interesados en los mismos'. https://www.boe.es/buscar/act.php?id=BOE-A-2015-10565#a29"
"Cuando los plazos se señalan por horas, ¿qué duración máxima pueden tener según el artículo 30.1 de la Ley 39/2015?","23 horas, en cuyo caso se expresarán en días","24 horas, en cuyo caso se expresarán en días","26 horas, en cuyo caso se expresarán en días",No tienen límite máximo,2,"El art. 30.1 LPAC dispone que los plazos expresados por horas se contarán de hora en hora y de minuto en minuto, y 'no podrán tener una duración superior a veinticuatro horas, en cuyo caso se expresarán en días'. https://www.boe.es/buscar/act.php?id=BOE-A-2015-10565#a30"
"Cuando los plazos se señalan por días, ¿qué días se excluyen del cómputo según el artículo 30.2 de la Ley 39/2015?",La exigencia de resolución expresa previa con audiencia del interesado cuando proceda,"Los sábados, los domingos y los declarados festivos","Ningún día se excluye, se cuentan todos los días naturales",La aplicación supletoria del trámite de subsanación antes de producir efectos desfavorables,2,"El art. 30.2 LPAC dispone que, salvo que se disponga otra cosa, cuando los plazos se señalen por días se entiende que son hábiles, 'excluyéndose del cómputo los sábados, los domingos y los declarados festivos'. Esta es una de las principales novedades de la Ley 39/2015 respecto de la anterior Ley 30/1992: la declaración de los sábados como inhábiles. https://www.boe.es/buscar/act.php?id=BOE-A-2015-10565#a30"
"¿Desde cuándo se cuentan los plazos expresados en días, según el artículo 30.3 de la Ley 39/2015?",La exigencia de resolución expresa previa con audiencia del interesado cuando proceda,"A partir del día siguiente a aquel en que tenga lugar la notificación, publicación, o la estimación o desestimación por silencio administrativo","Desde la fecha en que se dictó el acto, aunque no se hubiera notificado",La aplicación supletoria del trámite de subsanación antes de producir efectos desfavorables,2,"El art. 30.3 LPAC dispone: 'Los plazos expresados en días se contarán a partir del día siguiente a aquel en que tenga lugar la notificación o publicación del acto de que se trate, o desde el siguiente a aquel en que se produzca la estimación o la desestimación por silencio administrativo'. https://www.boe.es/buscar/act.php?id=BOE-A-2015-10565#a30"
"Si un plazo fijado en meses vence en un mes que no tiene día equivalente al de inicio del cómputo, ¿cuándo expira el plazo según el artículo 30.4 de la Ley 39/2015?",El primer día del mes siguiente,El último día del mes,El plazo se prorroga automáticamente un mes completo,El plazo queda indefinido hasta que la Administración lo determine,2,"El art. 30.4 LPAC dispone: 'Si en el mes de vencimiento no hubiera día equivalente a aquel en que comienza el cómputo, se entenderá que el plazo expira el último día del mes'. https://www.boe.es/buscar/act.php?id=BOE-A-2015-10565#a30"
"⭐⭐⭐ ¿Qué ocurre cuando el último día de un plazo es inhábil, según el artículo 30.5 de la Ley 39/2015?",El plazo se considera vencido igualmente,Se entenderá prorrogado al primer día hábil siguiente,El plazo se anula y hay que empezar de nuevo,Se adelanta al último día hábil anterior,2,"El art. 30.5 LPAC dispone: 'Cuando el último día del plazo sea inhábil, se entenderá prorrogado al primer día hábil siguiente'. https://www.boe.es/buscar/act.php?id=BOE-A-2015-10565#a30"
"Conforme al artículo 30 de la Ley 39/2015, ¿qué sucede si el último día de un plazo es inhábil?","El plazo se prorroga al primer día hábil siguiente, sin que esta regla implique modificar el cómputo de los días anteriores.","El plazo se considera finalizado el día hábil inmediatamente anterior, salvo que el interesado solicite su ampliación.","El plazo se prorroga automáticamente dos días hábiles, con independencia de que el día siguiente sea hábil o inhábil.","El plazo queda suspendido hasta que el órgano competente dicte una resolución expresa de prórroga.","1","El artículo 30.5 de la Ley 39/2015 establece que, cuando el último día del plazo sea inhábil, se entenderá prorrogado al primer día hábil siguiente."
"¿Cuál de las siguientes afirmaciones refleja correctamente dos reglas del artículo 30 de la Ley 39/2015 sobre el cómputo de plazos?","Cuando los plazos se señalen por días, se entienden hábiles salvo que una ley o el Derecho de la Unión Europea establezca otra cosa; y si el último día del plazo es inhábil, se prorroga al primer día hábil siguiente.","Cuando los plazos se señalen por días, se computan siempre como naturales; y si el último día es inhábil, el plazo vence el día hábil anterior.","Los plazos señalados por días se computan como hábiles únicamente cuando lo establezca expresamente el órgano competente; si el último día es inhábil, se amplían dos días hábiles.","Los plazos señalados por días se computan siempre como naturales, salvo que una ley disponga lo contrario; si el último día es inhábil, debe iniciarse nuevamente el cómputo.","1","El artículo 30.2 establece como regla general que los plazos señalados por días se entienden referidos a días hábiles, excluyéndose sábados, domingos y festivos, salvo que una ley o el Derecho de la Unión Europea disponga otro cómputo. El artículo 30.5 establece que, si el último día es inhábil, el plazo se prorroga al primer día hábil siguiente."
"Si un día es hábil en el municipio de residencia del interesado pero inhábil en la sede del órgano administrativo (o a la inversa), ¿cómo se considera dicho día según el artículo 30.6 de la Ley 39/2015?",Hábil en todo caso,Inhábil en todo caso,La exigencia de resolución expresa previa con audiencia del interesado cuando proceda,La aplicación supletoria del trámite de subsanación antes de producir efectos desfavorables,2,"El art. 30.6 LPAC dispone: 'Cuando un día fuese hábil en el municipio o Comunidad Autónoma en que residiese el interesado, e inhábil en la sede del órgano administrativo, o a la inversa, se considerará inhábil en todo caso'. https://www.boe.es/buscar/act.php?id=BOE-A-2015-10565#a30"
¿Cuántas horas al día y días al año permite la presentación de documentos el registro electrónico según el artículo 31.2.a) de la Ley 39/2015?,"24 horas, todos los días del año","25 horas, todos los días del año","26 horas, todos los días del año","23 horas, todos los días del año",1,El art. 31.2.a) LPAC dispone que el registro electrónico 'permitirá la presentación de documentos todos los días del año durante las veinticuatro horas'. https://www.boe.es/buscar/act.php?id=BOE-A-2015-10565#a31
