"Pregunta","Respuesta 1","Respuesta 2","Respuesta 3","Respuesta 4","Respuesta correcta","Explicación"
"¿Cuál de los siguientes NO es un derecho reconocido en el artículo 13 de la Ley 39/2015 a quienes tienen capacidad de obrar ante las Administraciones Públicas?","A comunicarse con las Administraciones Públicas a través de un Punto de Acceso General electrónico","A ser asistidos en el uso de medios electrónicos en sus relaciones con las Administraciones Públicas","A utilizar las lenguas oficiales en el territorio de su Comunidad Autónoma","A obtener necesariamente una respuesta favorable a sus solicitudes","4","El art. 13 LPAC reconoce, entre otros, los derechos a comunicarse a través del Punto de Acceso General electrónico, a ser asistido en el uso de medios electrónicos, a utilizar las lenguas cooficiales, al acceso a la información pública, a ser tratado con respeto, a exigir responsabilidades y a la protección de datos personales. No existe un derecho a obtener una resolución favorable, sino a obtener una resolución motivada conforme a Derecho. https://www.boe.es/buscar/act.php?id=BOE-A-2015-10565#a13"
"Conforme al artículo 14.2 de la Ley 39/2015, ¿cuál de las siguientes afirmaciones es correcta?","Quienes representen a un interesado obligado a relacionarse electrónicamente deberán hacerlo también por medios electrónicos.","Los representantes de cualquier interesado estarán obligados a utilizar exclusivamente medios electrónicos en sus relaciones con las Administraciones Públicas.","La obligación de relacionarse electrónicamente alcanza a todos los profesionales colegiados, con independencia de que la colegiación sea obligatoria o voluntaria.","Los empleados públicos deberán utilizar medios electrónicos en cualquier actuación que realicen ante cualquier Administración Pública, con independencia de su condición o del trámite de que se trate.","1","El artículo 14.2.d) limita esta obligación a quienes representen a un interesado que ya esté obligado a relacionarse electrónicamente. Asimismo, el artículo 14.2.c) exige colegiación obligatoria, y el artículo 14.2.e) limita la obligación de los empleados públicos a los trámites y actuaciones realizados por razón de su condición de empleados públicos. https://www.boe.es/buscar/act.php?id=BOE-A-2015-10565#a14"
"¿Cuál de los siguientes colectivos coincide exactamente con los obligados a relacionarse electrónicamente con las Administraciones Públicas conforme al artículo 14.2 de la Ley 39/2015?","Las personas jurídicas; las entidades sin personalidad jurídica; quienes ejerzan una actividad profesional para la que se requiera colegiación obligatoria, para los trámites y actuaciones que realicen con las Administraciones Públicas en ejercicio de dicha actividad; quienes representen a un interesado obligado a relacionarse electrónicamente; y los empleados públicos para los trámites y actuaciones que realicen con las Administraciones por razón de su condición de empleado público.","Las personas jurídicas; quienes ejerzan cualquier actividad profesional colegiada; quienes actúen en representación de cualquier interesado; y los empleados públicos en todas sus relaciones con las Administraciones Públicas.","Las personas jurídicas; las entidades sin personalidad jurídica; quienes ejerzan profesiones colegiadas, con independencia de que la colegiación sea obligatoria; quienes actúen como representantes; y los empleados públicos.","Las personas jurídicas; las entidades sin personalidad jurídica; quienes desarrollen actividades económicas sujetas a autorización administrativa; quienes representen a cualquier interesado; y los empleados públicos en el ejercicio de sus funciones.","1","El artículo 14.2 de la Ley 39/2015 obliga a relacionarse electrónicamente a las personas jurídicas; las entidades sin personalidad jurídica; quienes ejerzan una actividad profesional para la que se requiera colegiación obligatoria, para los trámites realizados en ejercicio de dicha actividad; quienes representen a un interesado obligado a relacionarse electrónicamente; y los empleados públicos para los trámites y actuaciones realizados por razón de su condición de empleado público. https://www.boe.es/buscar/act.php?id=BOE-A-2015-10565#a14"
"¿Qué régimen establece el artículo 14.1 de la Ley 39/2015 para las personas físicas respecto de su relación con las Administraciones Públicas?","Podrán elegir en todo momento si se comunican por medios electrónicos o no, salvo que estén obligadas a ello, pudiendo modificar posteriormente el medio elegido","Podrán elegir inicialmente el medio de comunicación, sin posibilidad de modificarlo durante el procedimiento","Solo podrán optar por medios no electrónicos cuando la Administración lo autorice expresamente","Estarán obligadas a utilizar medios electrónicos, salvo autorización expresa de la Administración para emplear medios presenciales","1","El artículo 14.1 reconoce a las personas físicas el derecho a elegir el medio de relación con la Administración, salvo obligación legal de utilizar medios electrónicos, pudiendo además modificar esa elección en cualquier momento."
"Según el artículo 14.1 de la Ley 39/2015, ¿quién puede modificar el medio elegido para relacionarse con la Administración?","La propia persona física interesada, en cualquier momento","Únicamente la Administración competente mediante resolución motivada","Solo el órgano instructor antes del trámite de audiencia","Exclusivamente el interesado antes del inicio del procedimiento","1","El artículo 14.1 dispone expresamente que el medio elegido podrá ser modificado por la persona física en cualquier momento."
"¿Cuál de las siguientes afirmaciones refleja correctamente la diferencia entre el régimen de las personas físicas y el de las personas jurídicas en el artículo 14 de la Ley 39/2015?","Las personas físicas pueden elegir el medio de relación salvo obligación legal, mientras que las personas jurídicas están obligadas a relacionarse electrónicamente","Tanto las personas físicas como las jurídicas pueden elegir libremente el medio de relación con la Administración","Las personas jurídicas pueden elegir el medio de relación únicamente cuando actúen mediante representante","Las personas físicas están obligadas a utilizar medios electrónicos siempre que el procedimiento sea iniciado de oficio","1","El artículo 14 distingue claramente entre el derecho de opción reconocido a las personas físicas (apartado 1) y la obligación de relacionarse electrónicamente impuesta a las personas jurídicas (apartado 2)."
"Conforme al artículo 14.1 de la Ley 39/2015, el derecho de las personas físicas a elegir el medio de comunicación con la Administración encuentra como única excepción expresa que...","estén obligadas por ley a relacionarse a través de medios electrónicos con las Administraciones Públicas","el procedimiento tenga carácter sancionador o tributario","la Administración motive la necesidad de utilizar exclusivamente medios electrónicos","el procedimiento afecte a derechos de terceros o al interés público","1","El artículo 14.1 únicamente exceptúa el derecho de elección cuando exista una obligación legal de relacionarse electrónicamente con la Administración."
"¿Cuál es la lengua de los procedimientos tramitados por la Administración General del Estado según el artículo 15.1 de la Ley 39/2015?","El castellano, aunque los interesados pueden utilizar también la lengua cooficial de la Comunidad Autónoma donde tenga su sede el órgano","Exclusivamente el castellano, sin excepciones","La lengua que elija el funcionario instructor","La lengua materna de cada interesado, sin límites","1","El art. 15.1 LPAC dispone que la lengua de los procedimientos de la AGE es el castellano, si bien los interesados que se dirijan a órganos con sede en una Comunidad Autónoma podrán usar también la lengua cooficial, tramitándose entonces el procedimiento en la lengua elegida (salvo discrepancia entre varios interesados, en cuyo caso se tramita en castellano, expidiéndose no obstante los documentos que soliciten los interesados en la lengua elegida por ellos). https://www.boe.es/buscar/act.php?id=BOE-A-2015-10565#a15"
"¿Qué documento se emite automáticamente al presentar documentos en el registro electrónico según el artículo 16.3 de la Ley 39/2015?","Un certificado de silencio administrativo","Un recibo consistente en copia autenticada del documento, con fecha, hora y número de entrada de registro","Una resolución provisional","Nada, no se emite ningún justificante","2","El art. 16.3 LPAC dispone que el registro garantizará la constancia de cada asiento y que, para ello, 'se emitirá automáticamente un recibo consistente en una copia autenticada del documento de que se trate, incluyendo la fecha y hora de presentación y el número de entrada de registro'. https://www.boe.es/buscar/act.php?id=BOE-A-2015-10565#a16"
"¿En qué lugares pueden presentarse los documentos que los interesados dirijan a los órganos de las Administraciones Públicas según el artículo 16.4 de la Ley 39/2015?","Únicamente en el registro electrónico de la Administración a la que se dirijan","En el registro electrónico del organismo destinatario o de cualquier otra Administración, en las oficinas de Correos, en representaciones diplomáticas u oficinas consulares, en las oficinas de asistencia en materia de registros, o en cualquier otro lugar que establezcan las disposiciones vigentes","Solo de forma presencial en el organismo competente","Únicamente por correo electrónico ordinario","2","El art. 16.4 LPAC enumera los lugares de presentación: registros electrónicos de cualquier Administración (art. 2.1), oficinas de Correos, representaciones diplomáticas u oficinas consulares de España en el extranjero, oficinas de asistencia en materia de registros, y cualquier otro que establezcan las disposiciones vigentes. https://www.boe.es/buscar/act.php?id=BOE-A-2015-10565#a16"
