Pregunta,Respuesta 1,Respuesta 2,Respuesta 3,Respuesta 4,Respuesta correcta,Explicación
"Conforme al artículo 7 de la Ley 10/2019, ¿qué obligación concreta deben cumplir los sujetos incluidos en el ámbito de aplicación de la ley para garantizar la publicidad activa?","Disponer de un portal o página web en el que publicar, de modo comprensible, estructurado y actualizado, la información pública.","Mantener un portal de transparencia accesible electrónicamente con toda la información sujeta a publicidad activa, actualizada de forma permanente y reutilizable.","Publicar la información sujeta a publicidad activa en la sede electrónica o portal institucional que determine reglamentariamente la Administración competente.","Garantizar el acceso electrónico a toda la información pública mediante un portal de transparencia interoperable con el Portal de Transparencia de la Comunidad de Madrid.","1","El artículo 7 de la Ley 10/2019 dispone que los sujetos incluidos en su ámbito de aplicación deberán disponer de un portal o página web en el que puedan publicar, de modo comprensible, estructurado y actualizado, la información pública objeto de publicidad activa. El resto de opciones incorporan requisitos o expresiones que la ley no establece. Art. 7 Ley 10/2019."
"¿Cuál de las siguientes afirmaciones se ajusta a lo dispuesto en el artículo 7 de la Ley 10/2019 sobre la publicidad activa?","Los sujetos obligados deberán disponer de un portal o página web en el que la información pública se publique de forma comprensible, estructurada y actualizada.","Los sujetos obligados deberán publicar toda la información objeto de publicidad activa exclusivamente a través del Portal de Transparencia de la Comunidad de Madrid.","La publicidad activa únicamente podrá realizarse mediante la sede electrónica correspondiente, garantizando la reutilización de toda la información publicada.","Los sujetos obligados podrán optar entre mantener un portal propio o remitir la información al órgano competente para su publicación centralizada.","1","El artículo 7 exige que los sujetos obligados dispongan de un portal o página web donde publiquen la información pública de forma comprensible, estructurada y actualizada. No impone la utilización exclusiva de un portal centralizado ni de la sede electrónica, ni contempla la mera remisión de la información a otro órgano."
¿Cuál de las siguientes NO es una obligación exigida por el artículo 8.1 de la Ley 10/2019 para el cumplimiento de la publicidad activa?,Elaborar y difundir un índice de información pública que obre en su poder,Establecer un buscador que permita acceder de forma rápida a cualquier archivo,Publicar la información sujeta a transparencia con lenguaje no sexista ni discriminatorio,Publicar toda la información exclusivamente en formato PDF no editable,4,"El art. 8.1 de la Ley 10/2019 exige, entre otras obligaciones, elaborar un directorio y un índice de información, establecer un buscador, usar lenguaje no sexista, y publicar y difundir información sobre el derecho de acceso. No exige un formato PDF no editable; al contrario, los principios de reutilización e interoperabilidad favorecen formatos abiertos y editables. https://www.boe.es/buscar/act.php?id=BOE-A-2019-10102#a8"
¿A disposición de quiénes debe estar la información en una modalidad accesible según el artículo 8.2 de la Ley 10/2019?,"De las personas con disoportunidad, mediante medios o formatos que resulten accesibles y comprensibles conforme al principio de accesibilidad universal y diseño para todos","De las personas con discapacidad, mediante medios o formatos que resulten accesibles y comprensibles conforme al principio de accesibilidad universal y diseño para todos",La inadmisión motivada por concurrir una causa legal aplicable al derecho de acceso,La ponderación entre transparencia y protección de datos personales de terceros,2,"El art. 8.2 de la Ley 10/2019 dispone que toda la información 'estará a disposición de las personas con discapacidad en una modalidad accesible, entendiendo por tal aquella que sea suministrada por medios o en formatos adecuados de manera que resulten accesibles y comprensibles, conforme al principio de accesibilidad universal y diseño para todos'. https://www.boe.es/buscar/act.php?id=BOE-A-2019-10102#a8"
"¿Quién es responsable de la información que un sujeto obligado incluye en su propia página web y en el Portal de Transparencia de la Comunidad, según el artículo 8.3 de la Ley 10/2019?",La inadmisión motivada por concurrir una causa legal aplicable al derecho de acceso,"Cada sujeto obligado es responsable de la información que incluye en su página web, portal de transparencia y de la que incorpora al Portal de Transparencia de la Comunidad",La ponderación entre transparencia y protección de datos personales de terceros,La remisión a la unidad de información competente para tramitar la solicitud,2,"El art. 8.3 de la Ley 10/2019 dispone: 'Cada sujeto obligado es responsable de la información que incluye en su página web, portal de transparencia y de la que incorpora al Portal de Transparencia de la Comunidad, en cumplimiento de lo establecido en la presente Ley'. https://www.boe.es/buscar/act.php?id=BOE-A-2019-10102#a8"
"¿Qué límites se aplican a la información sujeta a publicación cuando contenga datos de carácter personal, según el artículo 9.1 de la Ley 10/2019?",La inadmisión motivada por concurrir una causa legal aplicable al derecho de acceso,Los límites del derecho de acceso a la información pública previstos en la legislación de protección de datos de carácter personal,La ponderación entre transparencia y protección de datos personales de terceros,La remisión a la unidad de información competente para tramitar la solicitud,2,El art. 9.1 de la Ley 10/2019 dispone que a la información sujeta a publicación 'le serán de aplicación los límites del derecho de acceso a la información pública previstos en la legislación de la protección de datos de carácter personal'. https://www.boe.es/buscar/act.php?id=BOE-A-2019-10102#a9
"Cuando la información a publicar contuviera datos especialmente protegidos, ¿qué exige el artículo 9.2 de la Ley 10/2019?",La inadmisión motivada por concurrir una causa legal aplicable al derecho de acceso,"Que la publicación solo se lleve a efecto previa anonimización, ya sea por disociación o por agregación estadística",La ponderación entre transparencia y protección de datos personales de terceros,Que se destruyan directamente esos datos sin publicarlos ni conservarlos,2,"El art. 9.2 de la Ley 10/2019 dispone que cuando la información contuviera datos especialmente protegidos, 'la publicación sólo se llevará a efecto previa anonimización, en su caso, de los mismos, ya sea por disociación o por agregación estadística'. https://www.boe.es/buscar/act.php?id=BOE-A-2019-10102#a9"
"¿Durante cuánto tiempo debe mostrarse la información institucional en las webs de los sujetos obligados, según el artículo 10.5 de la Ley 10/2019?",La inadmisión motivada por concurrir una causa legal aplicable al derecho de acceso,La ponderación entre transparencia y protección de datos personales de terceros,"Al menos cuatro años, incluyendo cuando sea posible el histórico de cambios",La remisión a la unidad de información competente para tramitar la solicitud,3,"El art. 10.5 de la Ley 10/2019 dispone: 'La información institucional ofrecida en las diferentes webs referidas en este artículo deberá mostrarse durante al menos 4 años, incluyendo cuando sea posible el histórico de cambios que haya podido sufrir durante este período y poniendo a disposición la información anterior'. https://www.boe.es/buscar/act.php?id=BOE-A-2019-10102#a10"
"¿Con qué periodicidad debe hacerse pública la relación de puestos de trabajo de departamentos, concejalías o consejerías, según el artículo 11.1.a) de la Ley 10/2019?",La inadmisión motivada por concurrir una causa legal aplicable al derecho de acceso,Con carácter semestral,La ponderación entre transparencia y protección de datos personales de terceros,La remisión a la unidad de información competente para tramitar la solicitud,2,"El art. 11.1.a) de la Ley 10/2019 exige hacer pública 'la relación de puestos de trabajo de los departamentos, concejalías o consejerías con carácter semestral'. https://www.boe.es/buscar/act.php?id=BOE-A-2019-10102#a11"
"¿Cuál de los siguientes datos forma parte de la información que el artículo 12.1 de la Ley 10/2019 exige publicar respecto del personal directivo y de los altos cargos?","Las actividades compatibles autorizadas junto con su identificación, nombramiento, datos de contacto, perfil profesional, funciones y pertenencia a órganos colegiados o administrativos.","Las retribuciones individualizadas de todos los empleados públicos que dependan directamente del alto cargo.","Las declaraciones tributarias completas presentadas ante la Administración tributaria.","Los expedientes disciplinarios tramitados durante los últimos cinco años.","1","El artículo 12.1 exige publicar la identificación, nombramiento, datos de contacto, perfil y trayectoria profesional, funciones, órganos colegiados o administrativos de los que sea miembro y actividades compatibles autorizadas."
