"Pregunta","Respuesta 1","Respuesta 2","Respuesta 3","Respuesta 4","Respuesta correcta","Explicación"
"¿Cuál es el objeto de la Ley Orgánica 2/2023, del Sistema Universitario, según su artículo 1.1?","Regular únicamente el régimen retributivo del profesorado universitario","La regulación del sistema universitario, así como de los mecanismos de coordinación, cooperación y colaboración entre las Administraciones Públicas con competencias en materia universitaria","Regular exclusivamente las universidades privadas","Sustituir íntegramente a la LOE en materia de educación superior","2","El art. 1.1 de la Ley Orgánica 2/2023 dispone: 'Constituye el objeto de esta ley orgánica la regulación del sistema universitario, así como de los mecanismos de coordinación, cooperación y colaboración entre las Administraciones Públicas con competencias en materia universitaria'. https://www.boe.es/buscar/act.php?id=BOE-A-2023-7500#a1"
"¿Qué se entiende por 'sistema universitario' según el artículo 1.2 de la Ley Orgánica 2/2023?","Únicamente el conjunto de universidades públicas","El conjunto de universidades, públicas y privadas, y de los centros y estructuras que les sirven para el desarrollo de sus funciones","Únicamente el Ministerio de Universidades y sus organismos dependientes","El conjunto de estudiantes matriculados en un curso académico concreto","2","El art. 1.2 de la Ley Orgánica 2/2023 dispone: 'Se entiende por sistema universitario el conjunto de universidades, públicas y privadas, y de los centros y estructuras que les sirven para el desarrollo de sus funciones'. https://www.boe.es/buscar/act.php?id=BOE-A-2023-7500#a1"
"¿Qué títulos oficiales deben ofertar las universidades, en la mayoría de ramas de conocimiento, según la definición del artículo 1.2 de la Ley Orgánica 2/2023?","Únicamente títulos propios","Títulos universitarios oficiales de Grado, Máster Universitario y Doctorado","Únicamente certificados de formación continua","Únicamente titulaciones de Formación Profesional","2","El art. 1.2, párrafo segundo, de la Ley Orgánica 2/2023 dispone que se entiende por universidades aquellas instituciones que desarrollan las funciones centrales de docencia, investigación y transferencia e intercambio del conocimiento 'y que ofertan títulos universitarios oficiales de Grado, Máster Universitario y Doctorado en la mayoría de ramas de conocimiento, pudiendo desarrollar otras actividades formativas'. https://www.boe.es/buscar/act.php?id=BOE-A-2023-7500#a1"
"¿Mediante qué funciones presta y garantiza el sistema universitario el servicio público de la educación superior universitaria, según el artículo 2.1 de la Ley Orgánica 2/2023?","Únicamente mediante la docencia","Mediante la docencia, la investigación y la transferencia del conocimiento","Únicamente mediante la investigación","Mediante la gestión administrativa exclusivamente","2","El art. 2.1 de la Ley Orgánica 2/2023 dispone: 'El sistema universitario presta y garantiza el servicio público de la educación superior universitaria mediante la docencia, la investigación y la transferencia del conocimiento'. https://www.boe.es/buscar/act.php?id=BOE-A-2023-7500#a2"
"¿Cuál de las siguientes NO es una función de las universidades enumerada en el artículo 2.2 de la Ley Orgánica 2/2023?","La educación y formación del estudiantado a través de la creación, desarrollo, transmisión y evaluación crítica del conocimiento","La generación de espacios de creación y difusión de pensamiento crítico","La formación de la ciudadanía a través de la transmisión de valores y principios democráticos","La fijación unilateral de los precios de mercado de cualquier sector económico","4","El art. 2.2 de la Ley Orgánica 2/2023 enumera, entre otras funciones, la educación y formación del estudiantado, la preparación para actividades profesionales, la generación y transferencia del conocimiento, la promoción de la innovación, la contribución al bienestar social, la generación de espacios de pensamiento crítico, y la formación de la ciudadanía en valores democráticos. Fijar precios de mercado de cualquier sector económico no es, evidentemente, una función universitaria. https://www.boe.es/buscar/act.php?id=BOE-A-2023-7500#a2"
"¿Qué referente debe tener el ejercicio de las funciones universitarias según el artículo 2.3 de la Ley Orgánica 2/2023?","Únicamente el beneficio económico de la institución","Los derechos humanos y fundamentales, la memoria democrática, el fomento de la equidad e igualdad, el impulso de la sostenibilidad, la lucha contra el cambio climático y los Objetivos de Desarrollo Sostenible","Ningún referente específico, queda a la libre decisión de cada universidad","Exclusivamente los rankings internacionales de universidades","2","El art. 2.3 de la Ley Orgánica 2/2023 dispone: 'El ejercicio de las anteriores funciones tendrá como referente los derechos humanos y fundamentales, la memoria democrática, el fomento de la equidad e igualdad, el impulso de la sostenibilidad, la lucha contra el cambio climático y los valores que se desprenden de los Objetivos de Desarrollo Sostenible'. https://www.boe.es/buscar/act.php?id=BOE-A-2023-7500#a2"
"¿En virtud de qué derecho fundamental las universidades desarrollan sus funciones en régimen de autonomía, según el artículo 3.1 de la Ley Orgánica 2/2023?","El artículo 20 de la Constitución","El artículo 27.10 de la Constitución Española","El artículo 35 de la Constitución","El artículo 9.2 de la Constitución","2","El art. 3.1 de la Ley Orgánica 2/2023 dispone: 'Las universidades están dotadas de personalidad jurídica y desarrollan sus funciones en régimen de autonomía en virtud del derecho fundamental reconocido en el artículo 27.10 de la Constitución Española'. https://www.boe.es/buscar/act.php?id=BOE-A-2023-7500#a3"
"¿Cuál de las siguientes NO forma parte del contenido de la autonomía universitaria enumerado en el artículo 3.2 de la Ley Orgánica 2/2023?","La elaboración de sus Estatutos, en el caso de las universidades públicas","La elección, designación y remoción de las personas titulares de sus órganos de gobierno y representación","La autonomía económica y financiera","La aprobación de los Presupuestos Generales del Estado","4","El art. 3.2 de la Ley Orgánica 2/2023 enumera un extenso listado de contenidos de la autonomía universitaria: elaboración de Estatutos, elección de órganos de gobierno, autonomía económica y financiera, elaboración de planes de estudio, selección de personal, admisión del estudiantado, entre otros. La aprobación de los Presupuestos Generales del Estado es, obviamente, una competencia de las Cortes Generales, ajena por completo a la autonomía universitaria. https://www.boe.es/buscar/act.php?id=BOE-A-2023-7500#a3"
"¿Qué garantiza la autonomía universitaria respecto del profesorado, según el artículo 3.3 de la Ley Orgánica 2/2023?","La estabilidad salarial únicamente","La libertad de cátedra del profesorado, que se manifiesta en la libertad en la docencia, la investigación y el estudio","El derecho a la reducción de su carga docente sin justificación","La exención total de evaluación del desempeño","2","El art. 3.3 de la Ley Orgánica 2/2023 dispone: 'La autonomía universitaria garantiza la libertad de cátedra del profesorado, que se manifiesta en la libertad en la docencia, la investigación y el estudio'. https://www.boe.es/buscar/act.php?id=BOE-A-2023-7500#a3"
"¿Qué deben asegurar todas las Administraciones Públicas con competencias en la materia, para el desarrollo efectivo de la autonomía universitaria, según el artículo 3.4 de la Ley Orgánica 2/2023?","Ninguna obligación específica","A las universidades públicas su suficiencia y estabilidad financieras","Únicamente la gratuidad total de la matrícula","La reducción del número de universidades públicas","2","El art. 3.4 de la Ley Orgánica 2/2023 dispone: 'Para el desarrollo efectivo de la autonomía universitaria, todas las Administraciones Públicas con competencias en la materia deberán asegurar a las universidades públicas su suficiencia y estabilidad financieras conforme a lo establecido en el título IX'. https://www.boe.es/buscar/act.php?id=BOE-A-2023-7500#a3"
¿Qué deben asegurar las Administraciones Públicas para el desarrollo efectivo de la autonomía universitaria?,La gratuidad de todas las enseñanzas universitarias,La suficiencia y estabilidad financieras de las universidades públicas,La igualdad salarial entre todas las universidades,La financiación exclusiva por parte del Estado.,"2","El art. 3.4 de la Ley Orgánica 2/2023 dispone: 'Para el desarrollo efectivo de la autonomía universitaria, todas las Administraciones Públicas con competencias en la materia deberán asegurar a las universidades públicas su suficiencia y estabilidad financieras conforme a lo establecido en el título IX'. https://www.boe.es/buscar/act.php?id=BOE-A-2023-7500#a3"
"¿Qué deben hacer las universidades en el ejercicio de su autonomía, según el artículo 3.5 de la Ley Orgánica 2/2023?","Nada específico, la autonomía es absoluta y sin contrapartidas","Rendir cuentas a la sociedad del uso de sus medios y recursos humanos, materiales y económicos, desarrollar sus actividades mediante una gestión transparente y ofrecer un servicio público de calidad","Únicamente informar al Ministerio de Universidades una vez cada diez años","Someterse a auditoría exclusivamente si lo solicita un tercero privado","2","El art. 3.5 de la Ley Orgánica 2/2023 dispone: 'En el ejercicio de su autonomía, las universidades deberán rendir cuentas a la sociedad del uso de sus medios y recursos humanos, materiales y económicos, desarrollar sus actividades mediante una gestión transparente y ofrecer un servicio público de calidad'. Este es el binomio 'autonomía-transparencia' que destaca expresamente la exposición de motivos de la Ley. https://www.boe.es/buscar/act.php?id=BOE-A-2023-7500#a3"
"Según el artículo 3.2 de la Ley Orgánica 2/2023, ¿qué facultad forma parte del contenido de la autonomía universitaria en materia de ordenación académica?","La elaboración y aprobación de los planes de estudios conducentes a la obtención de títulos universitarios oficiales.","La determinación de las enseñanzas mínimas de todos los títulos oficiales del sistema universitario.","La fijación del catálogo estatal de títulos universitarios oficiales.","La homologación de títulos universitarios extranjeros.",1,"El artículo 3.2 reconoce expresamente la elaboración y aprobación de los planes de estudios como contenido de la autonomía universitaria, sin perjuicio de la normativa general aplicable."
"¿Cuál de las siguientes competencias integra expresamente el contenido de la autonomía universitaria conforme al artículo 3.2 de la Ley Orgánica 2/2023?","La selección, formación y promoción del personal docente e investigador y del personal técnico, de gestión y de administración y servicios.","La determinación del régimen estatutario de todo el empleo público universitario.","La aprobación de la oferta anual de empleo público de todas las universidades españolas.","La fijación de las retribuciones básicas del personal universitario.",1,"La autonomía universitaria comprende la selección, formación y promoción de su personal dentro del marco legal."
"Según el artículo 3.2 de la Ley Orgánica 2/2023, ¿qué facultad corresponde a las universidades respecto del estudiantado?","La admisión, permanencia y verificación de los conocimientos del estudiantado conforme a la normativa aplicable.","La determinación de los requisitos generales de acceso a la universidad.","La regulación de las pruebas de acceso para todo el sistema universitario español.","La expedición de los títulos de Bachiller.",1,"El artículo 3.2 reconoce a las universidades competencias sobre la admisión, permanencia y evaluación del estudiantado dentro del marco normativo."
"Conforme al artículo 3.2 de la Ley Orgánica 2/2023, ¿qué competencia forma parte de la autonomía universitaria en relación con la investigación?","El establecimiento, desarrollo y gestión de estructuras específicas de investigación y de transferencia e intercambio del conocimiento.","La aprobación de los planes estatales de investigación científica.","La autorización de todos los proyectos financiados por la Unión Europea.","La evaluación nacional de toda la actividad investigadora universitaria.",1,"La autonomía universitaria comprende la organización de sus propias estructuras de investigación y transferencia."
"¿Qué facultad reconoce expresamente el artículo 3.2 de la Ley Orgánica 2/2023 en relación con la organización interna de las universidades?","La creación de estructuras específicas que actúen como soporte de la investigación, la docencia, la transferencia e intercambio del conocimiento y la innovación.","La creación de nuevos cuerpos docentes universitarios.","La creación de organismos reguladores del sistema universitario.","La creación de títulos oficiales con validez estatal sin procedimiento alguno.",1,"El artículo 3.2 permite a las universidades crear las estructuras necesarias para el desarrollo de sus funciones."
"Según el artículo 3.2 de la Ley Orgánica 2/2023, ¿qué competencia integra la autonomía universitaria respecto de los recursos económicos?","La elaboración, aprobación y gestión de sus presupuestos y la administración de sus bienes.","La aprobación de los Presupuestos Generales del Estado.","La fijación de los objetivos de estabilidad presupuestaria de todas las Administraciones Públicas.","La determinación de la financiación autonómica del sistema universitario.",1,"La autonomía económica comprende la elaboración y gestión de los presupuestos universitarios y la administración de su patrimonio."
"Conforme al artículo 3.2 de la Ley Orgánica 2/2023, ¿qué facultad corresponde a las universidades en materia de relaciones institucionales?","El establecimiento de relaciones con otras universidades, instituciones, organismos y entidades, tanto nacionales como internacionales.","La representación diplomática del Estado en materia universitaria.","La negociación de tratados internacionales sobre educación superior.","La autorización de universidades extranjeras para operar en España.",1,"La autonomía universitaria incluye la capacidad de establecer relaciones de colaboración con otras instituciones."
"¿Qué relación existe entre el artículo 2.2 y el artículo 3.2 de la Ley Orgánica 2/2023?","El artículo 2.2 define las funciones que corresponden a las universidades, mientras que el artículo 3.2 reconoce las facultades de autonomía necesarias para desarrollarlas.","El artículo 3.2 sustituye las funciones previstas en el artículo 2.2.","Ambos artículos regulan exclusivamente la autonomía económica.","No existe relación sistemática entre ambos preceptos.",1,"Existe una relación funcional: la autonomía universitaria constituye el instrumento para desarrollar las funciones atribuidas a las universidades."
"¿Cuál de las siguientes afirmaciones refleja mejor la relación entre el artículo 3.1 y el artículo 3.2 de la Ley Orgánica 2/2023?","El artículo 3.1 reconoce el fundamento constitucional de la autonomía universitaria y el artículo 3.2 concreta el contenido material de dicha autonomía.","El artículo 3.1 regula exclusivamente la libertad de cátedra y el artículo 3.2 la financiación universitaria.","Ambos artículos contienen un listado de funciones universitarias.","El artículo 3.2 limita el alcance del derecho reconocido en el artículo 3.1.",1,"La estructura del artículo 3 distingue entre el fundamento constitucional de la autonomía y las facultades concretas que la integran."
