"Pregunta","Respuesta 1","Respuesta 2","Respuesta 3","Respuesta 4","Respuesta correcta","Explicación"
"¿Cómo se lleva a cabo la creación de universidades públicas y el reconocimiento de universidades privadas, según el artículo 4.1.a) de la Ley Orgánica 2/2023?","Por decreto del Consejo de Gobierno autonómico exclusivamente","Por ley de la Asamblea Legislativa de la Comunidad Autónoma en cuyo territorio vaya a ubicarse, previo informe preceptivo de la Conferencia General de Política Universitaria","Por resolución del Rector de una universidad ya existente","Por acuerdo privado entre particulares sin intervención pública","2","El art. 4.1.a) de la Ley Orgánica 2/2023 dispone que esta creación o reconocimiento se lleva a cabo 'por ley de la Asamblea Legislativa de la Comunidad Autónoma en cuyo territorio vaya a ubicarse, previo informe preceptivo de la Conferencia General de Política Universitaria'. https://www.boe.es/buscar/act.php?id=BOE-A-2023-7500#a4"
"¿En qué caso puede crearse o reconocerse una universidad por ley de las Cortes Generales, según el artículo 4.1.b) de la Ley Orgánica 2/2023?","Nunca, siempre corresponde a las Comunidades Autónomas","Cuando se trate de universidades de especiales características, a propuesta del Gobierno y de acuerdo con el Consejo de Gobierno autonómico correspondiente, previo informe preceptivo de la Conferencia General de Política Universitaria","Cuando lo solicite cualquier particular","Solo si la universidad tiene más de 50.000 estudiantes","2","El art. 4.1.b) de la Ley Orgánica 2/2023 permite la creación o reconocimiento 'por ley de las Cortes Generales a propuesta del Gobierno, de acuerdo con el Consejo de Gobierno de la Comunidad Autónoma en cuyo ámbito territorial hayan de establecerse, cuando se trate de universidades de especiales características, previo informe preceptivo de la Conferencia General de Política Universitaria'. https://www.boe.es/buscar/act.php?id=BOE-A-2023-7500#a4"
"¿Qué debe determinar el Gobierno, mediante real decreto, según el artículo 4.2 de la Ley Orgánica 2/2023?","El nombre oficial de cada universidad","Las condiciones y requisitos básicos para la creación de universidades públicas y el reconocimiento de universidades privadas, así como para el desarrollo de sus actividades","El presupuesto anual de cada universidad","El número exacto de estudiantes que debe matricular cada universidad","2","El art. 4.2 de la Ley Orgánica 2/2023 dispone que el Gobierno, mediante real decreto, 'determinará las condiciones y requisitos básicos para la creación de universidades públicas y el reconocimiento de universidades privadas, así como para el desarrollo de sus actividades', correspondiendo a la Comunidad Autónoma otorgar la autorización de inicio de actividades y supervisar su cumplimiento. https://www.boe.es/buscar/act.php?id=BOE-A-2023-7500#a4"
"Según el artículo 4.2 de la Ley Orgánica 2/2023, ¿qué corresponde determinar al Gobierno mediante real decreto?","Las condiciones y requisitos básicos para la creación de universidades públicas y el reconocimiento de universidades privadas, así como para el desarrollo de sus actividades","La autorización del inicio de actividades de todas las universidades creadas o reconocidas","La aprobación de la creación de universidades públicas por ley orgánica","Los requisitos específicos de funcionamiento de cada universidad mediante orden ministerial","1","El artículo 4.2 de la LOSU atribuye al Gobierno la determinación, mediante real decreto, de las condiciones y requisitos básicos para la creación de universidades públicas, el reconocimiento de universidades privadas y el desarrollo de sus actividades. La autorización del inicio de actividades corresponde a la Comunidad Autónoma competente."
"Según el artículo 4.2 de la Ley Orgánica 2/2023, ¿a quién corresponde autorizar el inicio de actividades de una universidad una vez creada o reconocida?","A la Comunidad Autónoma competente","Al Gobierno mediante real decreto","Al Consejo de Universidades","A la Conferencia General de Política Universitaria","1","El artículo 4.2 establece que corresponde a la Comunidad Autónoma competente autorizar el inicio de las actividades de las universidades y supervisar el cumplimiento de los requisitos exigibles."
"¿Qué Administración es competente, conforme al artículo 4.2 de la Ley Orgánica 2/2023, para supervisar el cumplimiento de las condiciones exigidas a las universidades tras el inicio de sus actividades?","La Comunidad Autónoma competente","El Ministerio competente en materia de universidades","El Consejo de Universidades","La Agencia Nacional de Evaluación de la Calidad y Acreditación (ANECA)","1","El artículo 4.2 atribuye a la Comunidad Autónoma competente tanto la autorización del inicio de actividades como la supervisión del cumplimiento de las condiciones y requisitos aplicables a las universidades."
"¿Con qué planes deben contar en todo caso las universidades como requisito para su creación y reconocimiento, según el artículo 4.3 de la Ley Orgánica 2/2023?","Planes de expansión inmobiliaria exclusivamente","Planes que garanticen la igualdad de género, medidas para corregir la brecha salarial, condiciones de accesibilidad para personas con discapacidad, y medidas de prevención y respuesta frente a la violencia, discriminación o acoso","Planes de marketing y publicidad institucional","Planes deportivos de alto rendimiento","2","El art. 4.3 de la Ley Orgánica 2/2023 dispone que, como requisito para su creación y reconocimiento, las universidades deberán contar con 'los planes que garanticen la igualdad de género en todas sus actividades, medidas para la corrección de la brecha salarial entre mujeres y hombres, condiciones de accesibilidad y ajustes razonables para las personas con discapacidad, y medidas de prevención y respuesta frente a la violencia, la discriminación o el acoso amparadas en la Ley 3/2022, de convivencia universitaria'. https://www.boe.es/buscar/act.php?id=BOE-A-2023-7500#a4"
"¿A quién corresponde la responsabilidad compartida de la promoción y el aseguramiento de la calidad del sistema universitario, según el artículo 5.2 de la Ley Orgánica 2/2023?","Únicamente al Gobierno central","A las universidades, las agencias de evaluación y las Administraciones Públicas con competencias en esta materia","Únicamente a los estudiantes matriculados","Únicamente a las empresas privadas colaboradoras","2","El art. 5.2 de la Ley Orgánica 2/2023 dispone: 'La promoción y el aseguramiento de dicha calidad es responsabilidad compartida por las universidades, las agencias de evaluación y las Administraciones Públicas con competencias en esta materia'. https://www.boe.es/buscar/act.php?id=BOE-A-2023-7500#a5"
"¿Qué siglas designan a la agencia estatal competente para la acreditación y evaluación del profesorado universitario, según el artículo 5.4 de la Ley Orgánica 2/2023?","AECID","ANECA","CNMV","AEPD","2","El art. 5.4 de la Ley Orgánica 2/2023 atribuye estas funciones a 'la Agencia Nacional de Evaluación de la Calidad y Acreditación (en adelante, ANECA) y a las agencias de evaluación de las Comunidades Autónomas inscritas en el Registro Europeo de Agencias de Calidad (EQAR)'. https://www.boe.es/buscar/act.php?id=BOE-A-2023-7500#a5"
"¿Qué deben tener las agencias de evaluación si cuentan con más de 50 personas trabajadoras, según el artículo 5.4 de la Ley Orgánica 2/2023?","Ninguna obligación adicional específica","Un plan de igualdad relativo a su organización","Una sede física en cada Comunidad Autónoma","Un mínimo de tres delegaciones internacionales","2","El art. 5.4, último párrafo, de la Ley Orgánica 2/2023 dispone que las agencias de evaluación deberán contar con medidas de igualdad en sus procesos de evaluación y, 'en caso de contar con más de 50 personas trabajadoras, con un plan de igualdad relativo a su organización'. https://www.boe.es/buscar/act.php?id=BOE-A-2023-7500#a5"
