Pregunta,Respuesta 1,Respuesta 2,Respuesta 3,Respuesta 4,Respuesta correcta,Explicación
"¿Cuál de los siguientes derechos reconoce expresamente el artículo 14.a) del TREBEP a los funcionarios de carrera?","La inamovilidad en la condición de funcionario de carrera","La permanencia indefinida en el puesto de trabajo obtenido por concurso","La estabilidad en el puesto de trabajo mientras no exista expediente disciplinario","La reserva del puesto de trabajo con independencia de la situación administrativa","1","El artículo 14.a) del TREBEP reconoce expresamente el derecho a la inamovilidad en la condición de funcionario de carrera. Este derecho garantiza la estabilidad en dicha condición, sin que deba confundirse con el derecho a permanecer en un puesto concreto. https://www.boe.es/buscar/act.php?id=BOE-A-2015-11719#a14"
"¿Qué derecho reconoce el artículo 14.g) del TREBEP en relación con el desarrollo profesional de los empleados públicos?","El derecho a la formación continua y a la actualización permanente de sus conocimientos y capacidades profesionales, preferentemente en horario laboral","El derecho a participar en acciones formativas organizadas por cualquier Administración Pública durante la jornada laboral","El derecho a recibir formación profesional permanente dentro de la jornada de trabajo siempre que esté relacionada con el puesto desempeñado","El derecho a la actualización continua de conocimientos profesionales mediante planes de formación aprobados por la Administración competente","1","El artículo 14.g) reconoce el derecho a la formación continua y a la actualización permanente de conocimientos y capacidades profesionales, preferentemente en horario laboral. El resto de opciones incorporan requisitos o matices que el precepto no contempla. https://www.boe.es/buscar/act.php?id=BOE-A-2015-11719#a14"
"¿Qué contenido comprende el derecho reconocido en el artículo 14.h) del TREBEP respecto a la protección de la dignidad de los empleados públicos?","El respeto de la intimidad, orientación e identidad sexual, expresión de género, características sexuales, propia imagen y dignidad en el trabajo, especialmente frente al acoso sexual, por razón de sexo, de orientación e identidad sexual, expresión de género, características sexuales, moral y laboral","La protección frente al acoso sexual y por razón de sexo, garantizando asimismo el respeto a la intimidad y a la dignidad personal del empleado público","El derecho al respeto de la intimidad, la propia imagen y la dignidad en el trabajo, especialmente frente al acoso sexual y laboral","La protección frente a cualquier conducta constitutiva de discriminación, acoso o vulneración de la intimidad durante la prestación del servicio","1","El artículo 14.h) contiene una enumeración muy amplia de bienes jurídicos protegidos (intimidad, orientación e identidad sexual, expresión de género, características sexuales, propia imagen y dignidad), así como de las distintas modalidades de acoso frente a las que se reconoce protección. https://www.boe.es/buscar/act.php?id=BOE-A-2015-11719#a14"
"¿Qué derecho incorporó la Ley Orgánica 3/2018 al artículo 14 mediante la letra j bis) del TREBEP?","El derecho a la intimidad en el uso de dispositivos digitales puestos a disposición del empleado, frente a la videovigilancia y la geolocalización, así como a la desconexión digital en los términos previstos en la legislación vigente","El derecho a utilizar libremente los dispositivos digitales facilitados por la Administración y a limitar cualquier sistema de control tecnológico durante la jornada laboral","El derecho a la protección frente al tratamiento automatizado de datos personales y a la desconexión digital durante los períodos de descanso reconocidos reglamentariamente","El derecho a la intimidad digital y a la limitación del uso de sistemas de control tecnológico por parte de la Administración, salvo autorización judicial","1","El artículo 14.j bis), incorporado por la Ley Orgánica 3/2018, reconoce el derecho a la intimidad en el uso de dispositivos digitales, frente a la videovigilancia y geolocalización, y a la desconexión digital conforme a la legislación vigente en materia de protección de datos personales y garantía de los derechos digitales. https://www.boe.es/buscar/act.php?id=BOE-A-2015-11719#a14"
"¿Cuál de los siguientes derechos NO figura entre los derechos individuales ejercidos colectivamente reconocidos en el artículo 15 del TREBEP?","El derecho de reunión en los términos previstos en el artículo 46 del TREBEP","El planteamiento de conflictos colectivos de trabajo conforme a la legislación aplicable en cada caso","La evaluación del desempeño con efectos en la carrera profesional horizontal, la formación y las retribuciones complementarias","La negociación colectiva y la participación en la determinación de las condiciones de trabajo","3","El artículo 15 recoge como derechos individuales ejercidos colectivamente la libertad sindical, la negociación colectiva, la huelga, el planteamiento de conflictos colectivos y el derecho de reunión. La evaluación del desempeño se regula en el artículo 20 del TREBEP y constituye un instrumento de carácter individual, no un derecho ejercido colectivamente. https://www.boe.es/buscar/act.php?id=BOE-A-2015-11719#a15"
"¿Cuál de los siguientes derechos individuales reconoce expresamente el artículo 14 del TREBEP en relación con la carrera profesional de los empleados públicos?","La progresión en la carrera profesional y promoción interna según principios constitucionales de igualdad, mérito y capacidad mediante la implantación de sistemas objetivos y transparentes de evaluación","La promoción interna mediante sistemas basados exclusivamente en la antigüedad y la experiencia profesional","La progresión automática en la carrera profesional una vez cumplidos los períodos mínimos de permanencia","La movilidad voluntaria entre Administraciones Públicas con independencia de las necesidades del servicio","1","El artículo 14.c) reconoce el derecho a la progresión en la carrera profesional y promoción interna conforme a los principios constitucionales de igualdad, mérito y capacidad, mediante la implantación de sistemas objetivos y transparentes de evaluación. https://www.boe.es/buscar/act.php?id=BOE-A-2015-11719#a14"
"¿Qué derecho reconoce el artículo 14.i) del TREBEP respecto a la actuación profesional del empleado público?","La defensa jurídica y protección de la Administración Pública en los procedimientos derivados legítimamente del ejercicio de sus funciones","La asistencia jurídica gratuita en cualquier procedimiento judicial relacionado con su actividad profesional","La representación procesal obligatoria por los servicios jurídicos de la Administración en cualquier litigio","La protección frente a cualquier reclamación administrativa o judicial derivada de su actividad profesional, con independencia de su actuación","1","El artículo 14.i) reconoce el derecho a la defensa jurídica y protección de la Administración Pública en los procedimientos que se sigan ante cualquier orden jurisdiccional como consecuencia del ejercicio legítimo de sus funciones o cargos públicos. https://www.boe.es/buscar/act.php?id=BOE-A-2015-11719#a14"
"¿Cuál de las siguientes afirmaciones refleja correctamente el derecho reconocido en el artículo 14.e) del TREBEP?","Los empleados públicos tienen derecho a percibir las retribuciones y las indemnizaciones por razón del servicio","Los empleados públicos tienen derecho a percibir las retribuciones básicas, siendo las complementarias potestativas para la Administración","El derecho a las retribuciones comprende exclusivamente el sueldo y los trienios previstos en la legislación básica","Las indemnizaciones por razón del servicio solo podrán percibirse cuando así lo acuerde expresamente el órgano competente","1","El artículo 14.e) reconoce el derecho a percibir las retribuciones y las indemnizaciones por razón del servicio, de acuerdo con el régimen jurídico aplicable. https://www.boe.es/buscar/act.php?id=BOE-A-2015-11719#a14"
"¿Qué derecho reconoce el artículo 14.m) del TREBEP en materia de conciliación de la vida personal, familiar y laboral?","La adopción de medidas que favorezcan la conciliación de la vida personal, familiar y laboral","La reducción automática de la jornada laboral cuando existan responsabilidades familiares","La adaptación del puesto de trabajo a las necesidades familiares del empleado público cuando este lo solicite","La elección preferente del turno de trabajo por razón de conciliación, cualquiera que sea la organización del servicio","1","El artículo 14.m) reconoce el derecho a la adopción de medidas que favorezcan la conciliación de la vida personal, familiar y laboral, sin establecer un catálogo cerrado de medidas concretas. https://www.boe.es/buscar/act.php?id=BOE-A-2015-11719#a14"
"¿Cuál de los siguientes derechos individuales del artículo 14 del TREBEP guarda relación directa con la prevención de riesgos laborales?","El derecho a recibir protección eficaz en materia de seguridad y salud en el trabajo","El derecho a participar en la planificación de las actuaciones preventivas de la Administración","El derecho a exigir la suspensión inmediata de cualquier actividad que comporte un riesgo potencial","El derecho a determinar las medidas preventivas aplicables al puesto de trabajo mediante acuerdo con la Administración","1","El artículo 14.l) reconoce expresamente el derecho de los empleados públicos a recibir protección eficaz en materia de seguridad y salud en el trabajo, de acuerdo con la normativa específica sobre prevención de riesgos laborales. https://www.boe.es/buscar/act.php?id=BOE-A-2015-11719#a14"
