"Pregunta","Respuesta 1","Respuesta 2","Respuesta 3","Respuesta 4","Respuesta correcta","Explicación"
"¿Cuál de los siguientes documentos NO está obligado a elaborar y conservar el empresario según el artículo 23.1 de la Ley 31/1995?","Plan de prevención de riesgos laborales","Evaluación de los riesgos para la seguridad y la salud en el trabajo","Planificación de la actividad preventiva","El contrato de trabajo de cada empleado, con independencia de cualquier finalidad preventiva","4","El art. 23.1 de la Ley 31/1995 exige conservar el plan de prevención, la evaluación de riesgos, la planificación de la actividad preventiva, la práctica de los controles del estado de salud de los trabajadores, y la relación de accidentes de trabajo y enfermedades profesionales con incapacidad superior a un día. El contrato de trabajo, como tal, no es un documento preventivo exigido por este precepto. https://www.boe.es/buscar/act.php?id=BOE-A-1995-24292#a23"
"¿A partir de qué grado de incapacidad laboral deben relacionarse los accidentes de trabajo y enfermedades profesionales en la documentación del artículo 23.1.e) de la Ley 31/1995?","Que hayan causado al trabajador una incapacidad laboral superior a un día de trabajo","Únicamente los que causen incapacidad permanente absoluta","Únicamente los accidentes mortales","Solo los que superen los 30 días de baja","1","El art. 23.1.e) de la Ley 31/1995 exige la relación de accidentes de trabajo y enfermedades profesionales 'que hayan causado al trabajador una incapacidad laboral superior a un día de trabajo'. https://www.boe.es/buscar/act.php?id=BOE-A-1995-24292#a23"
"¿Qué deben hacer las empresas con la documentación preventiva en el momento de cesar su actividad, según el artículo 23.2 de la Ley 31/1995?","Destruirla inmediatamente","Remitirla a la autoridad laboral","Conservarla en un archivo privado sin obligación de entrega","Entregarla únicamente a la Inspección de Trabajo si esta lo solicita expresamente","2","El art. 23.2 de la Ley 31/1995 dispone: 'En el momento de cesación de su actividad, las empresas deberán remitir a la autoridad laboral la documentación señalada en el apartado anterior'. https://www.boe.es/buscar/act.php?id=BOE-A-1995-24292#a23"
"¿Qué deben hacer las empresas cuando en un mismo centro de trabajo desarrollen actividades trabajadores de dos o más empresas, según el artículo 24.1 de la Ley 31/1995?","Nada específico, cada empresa actúa de forma independiente","Cooperar en la aplicación de la normativa sobre prevención de riesgos laborales, estableciendo los medios de coordinación necesarios","Fusionarse temporalmente en una sola entidad jurídica","Suspender toda actividad hasta que una sola empresa asuma el control total","2","El art. 24.1 de la Ley 31/1995 dispone que estas empresas 'deberán cooperar en la aplicación de la normativa sobre prevención de riesgos laborales. A tal fin, establecerán los medios de coordinación que sean necesarios en cuanto a la protección y prevención de riesgos laborales y la información sobre los mismos a sus respectivos trabajadores'. https://www.boe.es/buscar/act.php?id=BOE-A-1995-24292#a24"
"¿Qué deben hacer las empresas que contraten o subcontraten obras o servicios de su propia actividad que se desarrollen en sus propios centros de trabajo, según el artículo 24.3 de la Ley 31/1995?","Ninguna obligación específica de vigilancia","Vigilar el cumplimiento por dichos contratistas y subcontratistas de la normativa de prevención de riesgos laborales","Asumir en su totalidad y de forma exclusiva la responsabilidad penal del contratista","Prohibir cualquier subcontratación, sin excepción","2","El art. 24.3 de la Ley 31/1995 dispone: 'Las empresas que contraten o subcontraten con otras la realización de obras o servicios correspondientes a la propia actividad de aquéllas y que se desarrollen en sus propios centros de trabajo deberán vigilar el cumplimiento por dichos contratistas y subcontratistas de la normativa de prevención de riesgos laborales'. https://www.boe.es/buscar/act.php?id=BOE-A-1995-24292#a24"
"¿A quiénes protege de manera específica el artículo 25.1 de la Ley 31/1995 frente a los riesgos derivados del trabajo?","Únicamente a los trabajadores menores de edad","A los trabajadores que, por sus propias características personales o estado biológico conocido, incluidos aquellos con discapacidad física, psíquica o sensorial reconocida, sean especialmente sensibles a los riesgos derivados del trabajo","Únicamente a los trabajadores con más de veinte años de antigüedad","Únicamente a los altos directivos de la empresa","2","El art. 25.1 de la Ley 31/1995 dispone que el empresario 'garantizará de manera específica la protección de los trabajadores que, por sus propias características personales o estado biológico conocido, incluidos aquellos que tengan reconocida la situación de discapacidad física, psíquica o sensorial, sean especialmente sensibles a los riesgos derivados del trabajo'. https://www.boe.es/buscar/act.php?id=BOE-A-1995-24292#a25"
"¿Respecto de quiénes deben valorarse los riesgos para la función de procreación conforme al artículo 25.2 de la Ley 31/1995?","Respecto de los trabajadores y trabajadoras potencialmente expuestos.","Únicamente respecto de las trabajadoras embarazadas.","Solo respecto de las trabajadoras en período de lactancia.","Exclusivamente respecto de los trabajadores menores de edad.","1","El artículo 25.2 obliga a tener en cuenta los factores de riesgo que puedan incidir en la función de procreación tanto de los trabajadores como de las trabajadoras."
"¿Cuál es la finalidad específica de la evaluación prevista en el artículo 25.2 de la Ley 31/1995?","Detectar factores de riesgo que puedan afectar a la función de procreación de trabajadores y trabajadoras, especialmente por exposición a agentes con efectos mutagénicos o tóxicos para la reproducción.","Determinar exclusivamente los riesgos durante el embarazo y la lactancia.","Evaluar únicamente la exposición a agentes biológicos durante la gestación.","Valorar los riesgos ergonómicos derivados de la conciliación familiar.","1","El artículo 25.2 se refiere específicamente a la función de procreación de trabajadores y trabajadoras y menciona expresamente agentes físicos, químicos y biológicos con efectos mutagénicos o de toxicidad para la procreación."
"¿Qué característica distingue la protección prevista en el artículo 25.2 de la Ley 31/1995 respecto de la regulación específica de la maternidad del artículo 26?","El artículo 25.2 protege la función de procreación tanto de trabajadores como de trabajadoras mediante la evaluación de riesgos, mientras que el artículo 26 se refiere específicamente a la protección de la maternidad.","Ambos preceptos protegen exclusivamente a las trabajadoras embarazadas.","El artículo 25.2 solo resulta aplicable cuando exista embarazo confirmado.","El artículo 26 sustituye completamente la evaluación de riesgos prevista en el artículo 25.2.","1","El artículo 25.2 establece una protección preventiva respecto de la función reproductiva de trabajadores y trabajadoras, mientras que el artículo 26 regula la protección específica de la maternidad."
"¿Qué aspecto resulta especialmente relevante en la evaluación de riesgos regulada por el artículo 25.2 de la Ley 31/1995?","Que comprende los riesgos que puedan afectar a la función de procreación tanto de los trabajadores como de las trabajadoras.","Que se limita a los riesgos que puedan afectar a las trabajadoras embarazadas.","Que únicamente se aplica cuando exista exposición a agentes biológicos.","Que solo afecta al personal sanitario y de laboratorio.","1","El artículo 25.2 se refiere expresamente a la función de procreación de trabajadores y trabajadoras, lo que amplía su ámbito más allá de la protección específica de la maternidad."
